position	artist_id	song_id
1	5970	13080
2	6055	13076
3	6059	13081
4	6041	13057
5	6032	13044
6	6045	13063
7	5750	13048
8	6051	13071
9	6048	13066
10	6022	13029
11	6037	13050
12	5989	13070
13	6018	13024
14	5946	13082
15	5995	13069
16	6052	13072
17	6046	13064
18	6029	13039
19	6030	13040
20	6023	13030
21	5172	13019
22	6002	13005
23	6043	13060
24	6034	13073
25	6053	13074
26	6060	13084
27	6027	13036
28	6042	13058
29	6021	13083
30	5576	13041
31	6056	13077
32	5992	12994
33	6057	13078
34	6061	13085
35	6058	13079
36	6062	13086
37	5995	13052
38	6063	13087
39	5999	13002
40	5965	12963
