position	artist_id	song_id
1	995	2107
2	1060	2124
3	1053	2115
4	798	2125
5	512	2105
6	261	2137
7	910	2129
8	1057	2120
9	1068	2138
10	1063	2128
11	756	2098
12	1066	2135
13	1048	2104
14	1061	2126
15	1067	2136
16	805	2139
17	1065	2132
18	1056	2119
19	846	2100
20	1024	2121
21	863	2134
22	1046	2093
23	344	2141
24	1069	2140
25	1059	2123
26	70	2142
27	997	2133
28	1064	2130
29	36	2131
30	1050	2111
31	1055	2117
32	830	2101
33	734	2074
34	1070	2143
35	1052	2113
36	1054	2116
37	1071	2144
38	1062	2127
39	261	2081
40	1051	2112
