position	artist_id	song_id
1	1064	2385
2	1168	2428
3	893	2445
4	905	2404
5	1166	2424
6	1164	2421
7	1170	2430
8	1018	2439
9	1122	2441
10	1024	2442
11	1133	2405
12	1075	2409
13	1177	2448
14	1109	2431
15	975	2449
16	1118	2440
17	913	2447
18	1160	2407
19	1174	2436
20	1176	2446
21	1039	2415
22	1179	2452
23	95	2400
24	294	2453
25	1165	2422
26	905	2454
27	1172	2433
28	1171	2432
29	193	2444
30	1132	2455
31	1178	2450
32	1049	2427
33	1180	2456
34	1069	2451
35	638	2417
36	1167	2426
37	860	2403
38	775	2443
39	1173	2435
40	791	2434
