position	artist_id	song_id
1	3329	7494
2	3338	7512
3	3326	7483
4	1731	7506
5	3333	7500
6	3336	7510
7	3332	7499
8	3343	7520
9	3096	7527
10	3339	7513
11	2455	7532
12	3316	7470
13	3310	7525
14	3009	7519
15	433	7530
16	3349	7536
17	3305	7529
18	2524	7518
19	3324	7478
20	2888	7495
21	2846	7482
22	3308	7509
23	3340	7514
24	2232	7537
25	3348	7535
26	3344	7521
27	3190	7533
28	3200	7526
29	1283	7487
30	3189	7493
31	2129	7538
32	3230	7534
33	3346	7524
34	3243	7539
35	3328	7488
36	2494	7540
37	3345	7522
38	3350	7541
39	3347	7528
40	3249	7531
