position	artist_id	song_id
1	3200	8798
2	3870	8802
3	3846	8807
4	3865	8791
5	3887	8824
6	2503	8804
7	3871	8803
8	3861	8786
9	3866	8794
10	3876	8811
11	3875	8810
12	3440	8792
13	3881	8816
14	3854	8760
15	1730	8736
16	3436	8795
17	3880	8815
18	3874	8809
19	3885	8821
20	3890	8827
21	3882	8817
22	3836	8778
23	3888	8825
24	3884	8820
25	2778	8784
26	3889	8826
27	3653	8830
28	3892	8831
29	2260	8790
30	3721	8832
31	2959	8829
32	3862	8787
33	3078	8822
34	3873	8808
35	3891	8828
36	3883	8819
37	2991	8833
38	3829	8834
39	3748	8818
40	2595	8748
