position	artist_id	song_id
1	133	4417
2	228	4406
3	1847	4416
4	948	4426
5	1931	4418
6	1642	4427
7	372	4421
8	2034	4405
9	2031	4400
10	2041	4437
11	2037	4413
12	2005	4353
13	1620	4431
14	2038	4424
15	2039	4432
16	1856	4423
17	2036	4411
18	2026	4393
19	1980	4434
20	2027	4435
21	1584	4420
22	2042	4440
23	751	4439
24	2043	4441
25	2045	4444
26	1694	4445
27	1705	4446
28	594	4412
29	1868	4438
30	2044	4442
31	1988	4447
32	1285	4377
33	1283	4401
34	2033	4404
35	1538	4419
36	1388	4443
37	1157	4429
38	729	4414
39	1869	4433
40	2040	4436
