position	artist_id	song_id
1	3210	7873
2	3103	7900
3	3496	7906
4	3491	7887
5	3495	7905
6	3402	7888
7	3436	7899
8	3009	7910
9	2524	7922
10	3161	7913
11	3483	7867
12	791	7917
13	3497	7907
14	3269	7895
15	2959	7901
16	1019	7923
17	3503	7926
18	3502	7924
19	1538	7903
20	3500	7916
21	3476	7851
22	3501	7918
23	828	7914
24	2260	7928
25	2099	7897
26	1875	7919
27	2616	7925
28	3414	7875
29	3476	7929
30	3485	7874
31	3504	7930
32	1759	7921
33	3499	7912
34	3505	7931
35	3011	7868
36	3173	7932
37	3506	7933
38	3378	7927
39	3479	7920
40	2340	7886
