position	artist_id	song_id
1	3789	8613
2	3793	8626
3	3241	8557
4	3241	8623
5	2778	8584
6	3757	8629
7	3774	8569
8	3794	8627
9	3285	8620
10	3433	8637
11	3795	8635
12	3677	8641
13	3267	8644
14	791	8638
15	3459	8630
16	3792	8622
17	3790	8616
18	3410	8640
19	3691	8643
20	3786	8608
21	3482	8647
22	3103	8654
23	3778	8651
24	3596	8653
25	1586	8642
26	3800	8650
27	3799	8648
28	3796	8636
29	3801	8655
30	3747	8649
31	3243	8619
32	3778	8577
33	3788	8612
34	3802	8656
35	3803	8657
36	3279	8658
37	259	8659
38	1538	8652
39	3612	8645
40	3798	8646
