position	artist_id	song_id
1	4919	11218
2	2260	11217
3	5073	11198
4	4241	11213
5	5075	11200
6	5063	11177
7	5080	11212
8	4721	11204
9	4362	11206
10	5061	11175
11	5066	11180
12	5074	11199
13	5078	11210
14	5072	11194
15	4512	11219
16	5081	11215
17	5005	11203
18	4347	11191
19	5084	11224
20	4186	11223
21	3810	11214
22	4850	11193
23	5055	11167
24	4343	11182
25	5068	11183
26	4868	11160
27	4234	11220
28	4336	11205
29	5065	11179
30	5022	11208
31	4964	11209
32	5079	11211
33	5076	11202
34	4196	11196
35	5082	11216
36	4641	11222
37	5083	11221
38	5085	11225
39	5086	11226
40	5087	11227
