position	artist_id	song_id
1	4529	10112
2	4510	10078
3	4534	10120
4	2455	10117
5	4511	10080
6	4509	10122
7	4512	10081
8	4535	10121
9	4532	10116
10	4538	10131
11	4013	10105
12	4186	10090
13	4544	10138
14	4336	10111
15	4520	10096
16	4540	10133
17	4234	10124
18	2721	10107
19	4430	10130
20	4539	10132
21	4461	10104
22	4410	10108
23	4518	10092
24	4241	10095
25	4516	10087
26	4392	10065
27	4530	10113
28	4537	10126
29	4533	10119
30	4431	10045
31	4446	10127
32	2778	10118
33	4049	10128
34	4525	10101
35	4542	10135
36	4541	10134
37	4545	10139
38	4543	10136
39	4546	10140
40	3941	10137
