position	artist_id	song_id
1	6289	13412
2	6270	13388
3	6280	13398
4	6279	13397
5	6275	13393
6	6266	13381
7	6284	13403
8	6264	13406
9	6297	13422
10	6208	13405
11	6267	13383
12	6258	13367
13	6287	13408
14	6207	13364
15	6230	13314
16	6281	13400
17	5917	13415
18	6269	13387
19	6283	13402
20	5027	13399
21	5804	13411
22	5853	13355
23	6290	13413
24	6294	13419
25	6282	13401
26	6295	13420
27	5826	13418
28	6285	13404
29	6292	13416
30	6291	13414
31	6288	13409
32	5576	13410
33	6087	13369
34	6296	13421
35	6293	13417
36	6298	13423
37	6242	13375
38	6299	13424
39	6271	13389
40	6089	13349
