position	artist_id	song_id
1	6516	13739
2	6520	13745
3	6536	13764
4	6348	13741
5	6521	13746
6	6497	13712
7	6532	13759
8	6513	13734
9	6508	13727
10	6511	13732
11	6533	13760
12	6507	13725
13	6540	13768
14	5853	13736
15	6535	13762
16	6456	13754
17	6529	13755
18	6543	13771
19	6525	13750
20	6510	13730
21	6499	13714
22	6534	13761
23	6544	13772
24	6537	13765
25	5853	13691
26	6539	13767
27	6382	13758
28	6541	13769
29	6538	13766
30	6523	13748
31	6524	13749
32	6542	13770
33	6194	13743
34	6545	13773
35	6504	13720
36	6501	13716
37	6522	13747
38	6526	13751
39	6515	13738
40	6530	13756
