position	artist_id	song_id
1	1673	3637
2	638	3650
3	1688	3670
4	1680	3648
5	1694	3680
6	1679	3647
7	1686	3666
8	1285	3658
9	433	3668
10	1689	3671
11	1303	3677
12	1015	3617
13	1558	3642
14	1691	3674
15	549	1104
16	931	3675
17	1684	3664
18	1345	3681
19	1677	3644
20	1608	3660
21	1692	3676
22	1695	3682
23	1127	3669
24	1693	3679
25	1696	3684
26	1588	3683
27	1667	3685
28	1283	3686
29	1681	3652
30	1526	3659
31	1253	3687
32	1626	3672
33	977	3663
34	1248	3678
35	1697	3688
36	1687	3667
37	1658	3634
38	1698	3689
39	1690	3673
40	1685	3665
