position	artist_id	song_id
1	1986	4298
2	1976	4276
3	1987	4299
4	1985	4293
5	1990	4305
6	1988	4300
7	1419	4304
8	1995	4313
9	1694	4311
10	1814	4316
11	1584	4294
12	1994	4312
13	1993	4309
14	1981	4288
15	905	4317
16	1969	4263
17	99	151
18	1157	4321
19	751	4322
20	1868	4295
21	1997	4319
22	1980	4282
23	521	4323
24	1999	4324
25	1530	4262
26	1539	4310
27	261	4277
28	1806	4326
29	1998	4320
30	1424	4318
31	1955	4325
32	1904	4327
33	839	4302
34	1122	4328
35	1996	4315
36	1989	4301
37	1992	4308
38	259	4329
39	2000	4330
40	1984	4292
