position	artist_id	song_id
1	5251	11565
2	5250	11563
3	5223	11512
4	5246	11551
5	5238	11533
6	5241	11539
7	4901	11550
8	5235	11529
9	5243	11544
10	4561	11559
11	4485	11557
12	4815	11572
13	2455	11534
14	4118	11549
15	4930	11558
16	5229	11521
17	5168	11564
18	5255	11569
19	5252	11566
20	5244	11545
21	4408	11548
22	5254	11568
23	5177	11573
24	4563	11490
25	3810	11556
26	5145	11571
27	5249	11562
28	4186	11482
29	5203	11552
30	5232	11526
31	4931	11507
32	5233	11527
33	5166	11570
34	4987	11574
35	5256	11575
36	5193	11561
37	5124	11553
38	5145	11510
39	5148	11576
40	4850	11577
