position	artist_id	song_id
1	4546	10140
2	4241	10178
3	4556	10159
4	4510	10174
5	4542	10135
6	4562	10175
7	3935	10172
8	4554	10157
9	4553	10156
10	4510	10078
11	2260	10144
12	4518	10177
13	4372	10179
14	4561	10173
15	2455	10187
16	4438	10182
17	4565	10186
18	4538	10131
19	4544	10138
20	4408	10168
21	4558	10164
22	4136	10166
23	4413	10141
24	4542	10169
25	4537	10126
26	4532	10116
27	4560	10171
28	4336	10188
29	2778	10183
30	2340	10189
31	4551	10152
32	4566	10190
33	4393	10191
34	4278	10192
35	4567	10193
36	4543	10185
37	4540	10133
38	4362	10149
39	4020	10160
40	4564	10184
