position	artist_id	song_id
1	1769	3831
2	1770	3834
3	1083	3832
4	1775	3846
5	1686	3833
6	1681	3823
7	1763	3813
8	1776	3848
9	1296	3839
10	372	3841
11	1779	3851
12	1285	3829
13	1771	3840
14	1777	3849
15	1255	3858
16	1781	3853
17	1752	3847
18	1772	3842
19	1784	3859
20	1786	3863
21	1419	3824
22	1780	3852
23	1736	3854
24	1526	3864
25	1783	3857
26	728	3860
27	729	3856
28	1289	3837
29	1787	3865
30	1757	3803
31	1694	3815
32	9	3866
33	1735	3845
34	1788	3867
35	1785	3861
36	1600	3794
37	1665	3862
38	1762	3812
39	1731	3751
40	1295	3868
