position	artist_id	song_id
1	6404	13578
2	6395	13568
3	6392	13564
4	5727	13526
5	6387	13559
6	6396	13569
7	6369	13537
8	6378	13549
9	6401	13575
10	6399	13572
11	6373	13542
12	6375	13545
13	6366	13533
14	6388	13560
15	6393	13565
16	6400	13573
17	6037	13532
18	6360	13520
19	6407	13584
20	4563	13552
21	6355	13515
22	6405	13581
23	6389	13561
24	6402	13576
25	5823	13574
26	6380	13551
27	6264	13567
28	6377	13579
29	6394	13566
30	4485	13582
31	6376	13546
32	6336	13513
33	6242	13580
34	6269	13585
35	6397	13570
36	6406	13583
37	6362	13523
38	6408	13586
39	6368	13535
40	6403	13577
