position	artist_id	song_id
1	4042	9246
2	4063	9216
3	3269	9249
4	4083	9255
5	4070	9232
6	4075	9243
7	4076	9244
8	2455	9242
9	4071	9234
10	3804	9259
11	2260	9260
12	2584	9241
13	4085	9261
14	4077	9245
15	4080	9250
16	4081	9251
17	4082	9252
18	4072	9235
19	4049	9262
20	4086	9263
21	3536	9228
22	4078	9247
23	4020	9238
24	4074	9240
25	3241	9209
26	3901	9253
27	2897	6513
28	3946	9264
29	2524	9256
30	3953	9223
31	4084	9258
32	594	9257
33	4062	9214
34	3699	9176
35	4087	9265
36	4073	9239
37	4061	9213
38	3887	9254
39	3925	9219
40	3909	9224
