position	artist_id	song_id
1	2600	5824
2	2113	5555
3	2337	5826
4	2113	5842
5	2601	5825
6	2604	5831
7	2571	5814
8	2232	5795
9	2480	5835
10	2607	5836
11	2611	5846
12	2597	5815
13	1706	5843
14	2608	5838
15	2355	5816
16	2006	5848
17	2455	5844
18	2113	5851
19	2602	5827
20	1773	5850
21	2613	5853
22	1835	5852
23	2521	5807
24	2174	5845
25	2487	5833
26	2609	5840
27	2582	5779
28	2605	5832
29	1586	5830
30	609	5858
31	2599	5821
32	2612	5849
33	2615	5859
34	261	5856
35	1456	5855
36	734	5854
37	1631	5847
38	2616	5860
39	2614	5857
40	2617	5861
