position	artist_id	song_id
1	2044	6655
2	1808	6650
3	2952	6656
4	2958	6663
5	2960	6666
6	2941	6637
7	2944	6644
8	2963	6671
9	2948	6651
10	2954	6658
11	450	6667
12	2953	6657
13	2943	6639
14	1456	6613
15	55	70
16	2956	6660
17	2655	6673
18	2949	6652
19	2957	6661
20	2951	6654
21	2962	6669
22	2673	6677
23	2964	6672
24	2912	6571
25	2519	6674
26	2856	6670
27	2786	6640
28	2965	6675
29	2524	6678
30	2966	6676
31	1760	6662
32	2928	6679
33	2772	6680
34	2967	6681
35	2903	6624
36	1028	6682
37	2726	6664
38	2928	6610
39	2961	6668
40	2968	6683
