position	artist_id	song_id
1	2157	4886
2	1226	4888
3	2231	4905
4	1976	4898
5	1252	4910
6	2235	4912
7	2227	4895
8	453	4889
9	2222	4881
10	2193	4913
11	2234	4911
12	2205	4900
13	2236	4916
14	2119	4914
15	2170	4904
16	1868	4894
17	1503	4876
18	2237	4919
19	1214	4917
20	1311	4921
21	450	4918
22	2106	4923
23	228	4922
24	2153	4924
25	1223	4915
26	1550	4920
27	2226	4893
28	2187	4925
29	2238	4926
30	2224	4887
31	1586	4899
32	1062	4927
33	2232	4907
34	2163	4891
35	948	4928
36	2022	4929
37	1721	4930
38	2229	4902
39	2228	4901
40	2225	4892
