position	artist_id	song_id
1	6022	13029
2	6031	13043
3	6018	13024
4	6002	13005
5	6023	13030
6	5992	12994
7	5999	13002
8	6032	13044
9	5172	13019
10	6012	13015
11	6027	13036
12	5988	12990
13	5994	12996
14	6020	13027
15	6029	13039
16	5750	13048
17	6030	13040
18	6015	13018
19	5965	12963
20	5576	13041
21	6036	13049
22	5978	12977
23	4668	12986
24	5963	13025
25	6014	13017
26	5976	12974
27	6005	13008
28	6033	13045
29	5987	12989
30	5975	12973
31	6037	13050
32	6035	13047
33	5935	13042
34	6034	13046
35	6028	13037
36	6038	13051
37	6011	13014
38	5954	13034
39	6006	13009
40	5990	12992
