position	artist_id	song_id
1	3709	8425
2	3716	8441
3	3715	8440
4	3267	8417
5	3673	8438
6	3653	8449
7	3589	8445
8	3402	8462
9	3712	8432
10	2113	8413
11	3717	8443
12	3721	8454
13	3723	8456
14	3728	8467
15	3464	8450
16	3601	8442
17	3719	8447
18	3691	8453
19	3726	8463
20	3371	8418
21	3412	8444
22	3482	8466
23	3722	8455
24	1586	8473
25	3617	8459
26	3705	8468
27	3615	8412
28	3699	8469
29	3729	8474
30	3647	8429
31	3596	8465
32	2921	8472
33	5	8470
34	3374	8475
35	3725	8460
36	3231	8471
37	3724	8457
38	3305	8476
39	3714	8436
40	3727	8464
