position	artist_id	song_id
1	2534	5646
2	2321	5652
3	228	5610
4	2420	5657
5	2274	5645
6	2540	5661
7	2509	5635
8	2532	5640
9	2516	5663
10	1835	5664
11	90	5628
12	2393	5658
13	2524	5609
14	2162	5620
15	2324	5665
16	2340	5667
17	1456	5653
18	2337	5670
19	2260	5631
20	1806	5666
21	2536	5648
22	2541	5671
23	2530	5634
24	2099	5659
25	2535	5647
26	2041	5676
27	1419	5668
28	133	5649
29	1538	5660
30	2471	5672
31	2504	5669
32	2112	5673
33	594	5636
34	2479	5677
35	2542	5675
36	1162	5674
37	2543	5678
38	2531	5639
39	1122	5679
40	2338	5680
