position	artist_id	song_id
1	1847	4694
2	1201	4707
3	1561	4717
4	1769	4713
5	2152	4700
6	1807	4722
7	2157	4710
8	2162	4727
9	2160	4721
10	2161	4726
11	2165	4733
12	1442	4672
13	2153	4701
14	2156	4705
15	931	4723
16	2132	4712
17	1378	4734
18	2097	4729
19	1038	4704
20	893	4719
21	1538	4686
22	1952	4728
23	1424	4724
24	2118	4697
25	948	4736
26	2166	4735
27	2163	4730
28	2167	4737
29	2164	4731
30	1825	4740
31	133	4741
32	1303	4738
33	1851	4742
34	756	2098
35	1791	4732
36	1412	4743
37	1931	4708
38	1296	4739
39	5	4744
40	7	4725
