position	artist_id	song_id
1	3994	9086
2	3804	9081
3	3887	9076
4	3648	9055
5	3957	9092
6	2456	9056
7	3907	9064
8	3997	9097
9	3241	9053
10	3998	9098
11	3991	9075
12	3946	9078
13	3999	9099
14	3342	9052
15	4002	9102
16	3926	9060
17	3935	9071
18	3866	9058
19	3746	9094
20	3987	9061
21	3996	9095
22	3699	9093
23	3782	9083
24	3982	9045
25	3899	9077
26	3993	9082
27	3988	9069
28	3482	9073
29	3992	9080
30	2633	9089
31	4003	9103
32	3990	9104
33	3995	9091
34	3990	9074
35	4001	9101
36	4004	9105
37	4005	9106
38	4000	9100
39	4006	9107
40	1283	9096
