position	artist_id	song_id
1	3351	7542
2	3354	7549
3	2628	7550
4	3096	7527
5	3171	7555
6	3210	7551
7	2129	7538
8	729	7562
9	193	7560
10	3311	7558
11	3349	7536
12	2232	7537
13	1252	7543
14	2673	7553
15	2290	7557
16	1919	7564
17	2524	7568
18	3355	7556
19	2813	7570
20	3358	7569
21	931	7552
22	3352	7545
23	3108	7574
24	3326	7575
25	3359	7572
26	2452	7573
27	3255	7571
28	2846	7563
29	1731	7506
30	3243	7539
31	3360	7576
32	3200	7577
33	1586	7546
34	3361	7578
35	3356	7565
36	3362	7579
37	3338	7512
38	3258	7566
39	3329	7494
40	3357	7567
