position	artist_id	song_id
1	5108	11266
2	5102	11250
3	5109	11267
4	4626	11259
5	5099	11247
6	4186	11223
7	4362	11262
8	5061	11251
9	5098	11246
10	4383	11263
11	5110	11269
12	5096	11241
13	5092	11234
14	4721	11272
15	4677	11270
16	3799	11257
17	5065	11268
18	4770	11255
19	4392	11271
20	5091	11232
21	5027	11233
22	4919	11218
23	5105	11256
24	5107	11265
25	4818	11254
26	4336	11273
27	5094	11237
28	3248	11239
29	5095	11240
30	4641	11222
31	2260	11217
32	5080	11212
33	5087	11227
34	4859	11274
35	5100	11248
36	2260	11275
37	4013	11238
38	4992	11276
39	5106	11261
40	5101	11249
