position	artist_id	song_id
1	4112	9308
2	4119	9322
3	4109	9302
4	4123	9330
5	4122	9325
6	4102	9288
7	4042	9332
8	4124	9331
9	4020	9285
10	3938	9326
11	3980	9294
12	4113	9309
13	1069	9320
14	4063	9317
15	4125	9336
16	4111	9304
17	4033	9281
18	3999	9311
19	4099	9284
20	3903	9337
21	4002	9327
22	4071	9297
23	4008	9333
24	2524	9334
25	4077	9245
26	4049	9262
27	4042	9246
28	4114	9310
29	3987	9335
30	4117	9316
31	4070	9314
32	4057	9338
33	4116	9313
34	3243	9339
35	4082	9318
36	2113	8766
37	3269	9249
38	3699	9329
39	4121	9324
40	4118	9319
