position	artist_id	song_id
1	4157	9386
2	4164	9401
3	4143	9366
4	3961	9408
5	3697	9379
6	4159	9390
7	4166	9406
8	4169	9412
9	3267	9415
10	4049	9388
11	4142	9365
12	3935	9385
13	4165	9403
14	453	9419
15	4173	9420
16	4171	9414
17	4168	9410
18	4127	9416
19	3938	9417
20	4137	9355
21	4153	9380
22	4161	9393
23	729	9409
24	4076	9397
25	4170	9413
26	4160	9392
27	3903	9402
28	4167	9407
29	4174	9421
30	3814	9398
31	4175	9422
32	4172	9418
33	4042	9405
34	4140	9363
35	4145	9368
36	4136	9352
37	1069	9376
38	4158	9389
39	4144	9367
40	4030	9411
