position	artist_id	song_id
1	1763	3813
2	1769	3831
3	1681	3823
4	1600	3794
5	1770	3834
6	1762	3812
7	1285	3829
8	1757	3803
9	1419	3824
10	1694	3815
11	1686	3833
12	1731	3751
13	1547	3830
14	1764	3819
15	1083	3832
16	1765	3825
17	1296	3839
18	1289	3837
19	372	3841
20	1761	3811
21	1771	3840
22	1772	3842
23	1775	3846
24	1752	3847
25	1773	3843
26	1751	3835
27	1776	3848
28	1777	3849
29	1735	3845
30	1752	3795
31	1486	3836
32	1345	3838
33	1774	3844
34	1611	3814
35	1778	3850
36	1759	3807
37	59	3816
38	827	3804
39	1573	3818
40	1755	3800
