position	artist_id	song_id
1	1826	3949
2	1722	3975
3	1836	3974
4	1620	3959
5	1825	3947
6	1398	3972
7	1419	3987
8	1277	3977
9	1110	3956
10	1828	3958
11	1255	3986
12	1832	3963
13	1829	3960
14	1840	3981
15	1603	3982
16	1838	3978
17	1837	3976
18	433	3952
19	1227	3953
20	1631	3980
21	1727	3988
22	1835	3971
23	1834	3967
24	1839	3979
25	1709	3969
26	1717	3993
27	1285	3929
28	1846	3994
29	1843	3985
30	1015	3990
31	1844	3989
32	1841	3983
33	1842	3984
34	1019	3995
35	1847	3996
36	1062	3991
37	1845	3992
38	1848	3997
39	1711	3957
40	1833	3964
