position	artist_id	song_id
1	4265	9602
2	4171	9596
3	4257	9582
4	4255	9612
5	4259	9590
6	4264	9600
7	4254	9577
8	4266	9606
9	4189	9609
10	4256	9579
11	4250	9568
12	4238	9597
13	4271	9618
14	4252	9571
15	3987	9573
16	4262	9595
17	4202	9559
18	4173	9601
19	4260	9592
20	3909	9603
21	4258	9585
22	3887	9598
23	4268	9613
24	4263	9599
25	4163	9567
26	4270	9615
27	2595	9610
28	4269	9614
29	4272	9619
30	1639	9605
31	4261	9594
32	3938	9604
33	3267	9611
34	4136	9617
35	4196	9620
36	4273	9621
37	4234	9622
38	4215	9623
39	4242	9616
40	4112	9607
