position	artist_id	song_id
1	1285	4193
2	1936	4196
3	819	4187
4	1935	4194
5	1938	4201
6	1943	4211
7	1909	4202
8	1945	4215
9	1941	4207
10	450	4206
11	1847	4192
12	644	4164
13	1942	4210
14	1944	4212
15	1939	4204
16	1419	4197
17	1788	4216
18	1933	4189
19	1745	4213
20	973	4219
21	1940	4205
22	113	4190
23	1069	4208
24	1875	4214
25	1906	4217
26	1946	4221
27	1580	4222
28	1427	4223
29	7	4209
30	1815	4218
31	1929	4180
32	1947	4224
33	1778	4220
34	1401	4175
35	1948	4225
36	1949	4226
37	1930	4181
38	1932	4188
39	1937	4198
40	1283	4153
