position	artist_id	song_id
1	3241	11593
2	5285	11628
3	5266	11591
4	5286	11633
5	5257	11578
6	5284	11627
7	5289	11638
8	5259	11580
9	4901	11550
10	5288	11637
11	5272	11603
12	5282	11625
13	4273	11617
14	5280	11619
15	4931	11606
16	5022	11597
17	4413	11634
18	3470	11639
19	5290	11641
20	4602	11613
21	5267	11592
22	5173	11642
23	4641	11630
24	3470	11581
25	5191	11644
26	5177	11573
27	4850	11636
28	5082	11621
29	4013	11609
30	5261	11583
31	5018	11645
32	5269	11596
33	5191	11586
34	2455	11612
35	5171	11631
36	4792	11632
37	5168	11643
38	5247	11640
39	5287	11635
40	5244	11646
