position	artist_id	song_id
1	2678	6357
2	2833	6377
3	2455	6358
4	450	6369
5	2825	6356
6	2162	6376
7	2668	6349
8	1395	6333
9	2693	6391
10	2834	6381
11	2824	6355
12	2669	6382
13	2030	6380
14	2260	6342
15	2838	6386
16	2827	6362
17	1990	6398
18	2835	6383
19	2837	6385
20	2840	6390
21	2841	6392
22	2826	6361
23	2842	6393
24	2778	6388
25	2798	6373
26	2472	6397
27	2836	6384
28	2787	6368
29	2843	6394
30	2844	6395
31	2337	6396
32	2340	6350
33	2447	6387
34	2595	6378
35	2290	6399
36	2831	6370
37	2845	6400
38	2846	6401
39	2504	6402
40	2839	6389
