position	artist_id	song_id
1	5073	11198
2	5063	11177
3	5075	11200
4	5061	11175
5	5074	11199
6	1538	11188
7	5066	11180
8	5072	11194
9	5055	11167
10	4721	11204
11	4347	11191
12	5068	11183
13	4850	11193
14	4196	11196
15	5065	11179
16	4343	11182
17	4362	11206
18	5036	11129
19	4868	11160
20	4336	11205
21	5067	11181
22	5005	11203
23	5076	11202
24	4602	11190
25	4613	11195
26	5064	11178
27	5030	11116
28	5035	11128
29	4964	11209
30	4512	11136
31	5022	11208
32	5077	11207
33	5078	11210
34	5069	11185
35	5053	11165
36	5079	11211
37	5080	11212
38	4241	11213
39	5027	11151
40	5071	11192
