position	artist_id	song_id
1	5694	12496
2	5710	12522
3	5527	12512
4	5579	12506
5	5707	12518
6	5702	12511
7	5131	12461
8	5481	12514
9	5703	12513
10	4647	12452
11	5693	12494
12	5698	12503
13	5676	12454
14	5695	12498
15	5705	12516
16	4451	12497
17	5683	12474
18	5708	12519
19	5713	12525
20	5692	12492
21	5131	12527
22	5686	12478
23	5706	12517
24	5629	12520
25	5716	12529
26	5714	12526
27	5712	12524
28	5672	12446
29	5632	12530
30	5715	12528
31	5711	12523
32	5666	12504
33	5691	12487
34	3872	12531
35	5687	12479
36	4679	12532
37	5668	12440
38	5308	12533
39	4994	12493
40	5647	12502
