position	artist_id	song_id
1	6137	13177
2	5947	13133
3	6132	13171
4	6123	13160
5	6125	13162
6	6107	13139
7	6111	13143
8	6089	13115
9	6017	13168
10	6121	13158
11	6116	13151
12	6114	13147
13	6131	13170
14	6103	13134
15	6138	13178
16	6135	13174
17	6069	13093
18	6134	13173
19	6059	13180
20	6127	13164
21	5947	13175
22	6139	13179
23	6130	13169
24	6124	13161
25	6113	13145
26	6141	13182
27	5992	13183
28	6133	13172
29	6142	13184
30	6099	13128
31	6136	13176
32	4273	13185
33	6064	13088
34	6014	13157
35	6081	13106
36	6079	13104
37	6072	13096
38	6143	13186
39	6140	13181
40	6112	13144
