position	artist_id	song_id
1	4470	9997
2	4473	10003
3	4446	10012
4	4241	9996
5	4356	10005
6	4454	9971
7	2455	9994
8	4471	9998
9	2119	10020
10	4472	9999
11	4457	9974
12	4478	10009
13	4463	9984
14	4479	10011
15	4171	9987
16	3857	9962
17	4367	9985
18	3470	9978
19	4063	10014
20	4483	10021
21	4444	10013
22	4475	10006
23	4474	10004
24	4480	10015
25	4445	9950
26	4477	10008
27	4178	9983
28	3638	10018
29	4465	9989
30	4347	10022
31	4484	10023
32	4186	9977
33	4476	10007
34	3810	10000
35	4440	9935
36	4469	9995
37	4481	10017
38	3947	10024
39	4132	10010
40	4482	10019
