position	artist_id	song_id
1	1293	2751
2	1276	2761
3	1296	2762
4	372	2765
5	1025	2744
6	1292	2740
7	1188	2771
8	1274	2767
9	1067	2136
10	989	2756
11	1192	2742
12	1291	2738
13	1074	2764
14	1297	2768
15	1298	2770
16	1277	2746
17	1299	2773
18	1279	2772
19	1301	2775
20	367	2769
21	1226	2757
22	729	2779
23	1300	2774
24	1267	2778
25	1302	2780
26	1281	2716
27	261	2781
28	775	2782
29	1174	2783
30	1057	2776
31	123	2745
32	1179	2777
33	1303	2784
34	1290	2737
35	259	2741
36	1283	2724
37	794	2748
38	1280	2785
39	698	2753
40	95	2750
