position	artist_id	song_id
1	1339	2867
2	1346	2882
3	1285	2876
4	4	2877
5	1344	2878
6	1188	2889
7	1353	2896
8	1351	2892
9	1340	2868
10	261	2883
11	1359	2903
12	1122	2887
13	1301	2888
14	1350	2891
15	522	2880
16	725	2869
17	1354	2897
18	1358	2902
19	1329	2848
20	1308	2904
21	1355	2898
22	1057	2884
23	1352	2895
24	1277	2894
25	1356	2899
26	1202	2905
27	1357	2900
28	1343	2875
29	1360	2906
30	372	2907
31	1361	2908
32	1141	2872
33	913	2901
34	1336	2857
35	1345	2881
36	1362	2909
37	1341	2870
38	1267	2893
39	1325	2839
40	1349	2890
