position	artist_id	song_id
1	5839	12770
2	5854	12801
3	5852	12797
4	5860	12812
5	5797	12800
6	5865	12818
7	4563	12790
8	5811	12802
9	5857	12807
10	5841	12772
11	5856	12806
12	5853	12798
13	5846	12780
14	5871	12826
15	4691	12808
16	5847	12785
17	5868	12823
18	5867	12822
19	5825	12749
20	5848	12786
21	5872	12827
22	5750	12792
23	5840	12771
24	5862	12815
25	5527	12820
26	5863	12816
27	5849	12787
28	5826	12796
29	4186	12828
30	5475	12799
31	5172	12793
32	5869	12824
33	5858	12809
34	5191	12829
35	5866	12821
36	5873	12830
37	5870	12825
38	5787	12831
39	3243	12810
40	4626	12819
