position	artist_id	song_id
1	3241	11593
2	5257	11578
3	5278	11615
4	5266	11591
5	5033	11618
6	4901	11550
7	5259	11580
8	5272	11603
9	4931	11606
10	5267	11592
11	4602	11613
12	5022	11597
13	5261	11583
14	5285	11628
15	5191	11586
16	4013	11609
17	2455	11612
18	4273	11617
19	5280	11619
20	5082	11621
21	5177	11573
22	3470	11581
23	5276	11611
24	5282	11625
25	4691	11622
26	5271	11601
27	5284	11627
28	5283	11626
29	5279	11616
30	4537	11629
31	5281	11624
32	5269	11596
33	5246	11551
34	4641	11630
35	5277	11614
36	5171	11631
37	4485	11623
38	4919	11590
39	4792	11632
40	5274	11607
