,song_id,name_song,listOfNames_song,artist_id,name_artist,listOfNames_artist,artistnames,trackName,trackID,albumID,artistIDs,explicit,popularity
7707,7707,Ik Moet Nog Wat Jaren Mee,['Ik Moet Nog Wat Jaren Mee'],1721,Henk Wijngaard,['Henk Wijngaard'],['Henk Wijngaard'],Ik Moet Nog Wat Jaren Mee,spotify:track:5iwWbThMUY4ScDYLa9P9Vs,spotify:album:0oXHOohTvlcBbGHY1hXYgE,['spotify:artist:0EyzZUO2ycn0hLjKDFT7Hb'],False,30.0
7708,7708,Apparently Nothin',"[""Apparently Nothin'""]",3421,Young Disciples,['Young Disciples'],['Young Disciples'],Apparently Nothin' - Soul River,spotify:track:4vrb86qzVCqp9bBF0nCieR,spotify:album:11yGRDzeFpvgNVPwCW2QlU,['spotify:artist:3kJihkcV0ZHZCoKngxp5c4'],False,31.0
7709,7709,Let's Talk About Sex!,"[""Let's Talk About Sex!""]",2990,Salt-N-Pepa,"['Salt-N-Pepa', 'Salt']",['Salt-N-Pepa'],Let's Talk About Sex,spotify:track:4IC7QVcYO9Vuu35Oj5eQuM,spotify:album:0H8s4eKxfgsAWQy7uKha1w,['spotify:artist:7wqtxqI3eo7Gn1P7SpP6cQ'],False,49.0
7710,7710,Everybody's Free (To Feel Good),"[""Everybody's Free (To Feel Good)"", ""Everybody's Free "", 'To Feel Good', ""Everybody's Free To Feel Good""]",3422,Rozalla,['Rozalla'],['Rozalla'],Everybody's Free (To Feel Good),spotify:track:7vF9snYX2aBiM52byVDKPC,spotify:album:22wSm8WehyzHc6K2SOUxTh,['spotify:artist:2wnJCxpnKAagrdBJAvaDrQ'],False,23.0
7711,7711,Something Special,['Something Special'],3363,Nomad,['Nomad'],[None],,,,[None],,
7712,7712,Just Do It,['Just Do It'],3423,Conquest,['Conquest'],['Conquest'],Just Do It (Funkstrumental Mix) - Funkstrumental Mix,spotify:track:13BuMleibpAxZMxsh4tOGH,spotify:album:1jZV9cx0FbiA8DtgNWt7MJ,['spotify:artist:5YWiorKJMEfsoEBebIvZEs'],False,0.0
7713,7713,Jij Bent Van Mij (True Love Ways),"['Jij Bent Van Mij (True Love Ways)', 'Jij Bent Van Mij ', 'True Love Ways', 'Jij Bent Van Mij True Love Ways']",2312,John Spencer,['John Spencer'],['John Spencer'],Jij Bent Van Mij,spotify:track:102iHAcCRNgT0AboVa5RFP,spotify:album:1YHbxq9gpELwn3l7t5mSZH,['spotify:artist:59DTuMGsxnvkyq8Ulz8cvm'],False,1.0
7714,7714,Why Believe In You,['Why Believe In You'],3191,Texas,"['Texas', 'Te']",['Texas'],Why Believe In You,spotify:track:332XG3MihFrn1txxvhHHZ1,spotify:album:30O5ln8VBMlmn1vSS0fFqo,['spotify:artist:5JsdVATHNPE0XdMFMRoSuf'],False,12.0
7715,7715,Thinking Of You,['Thinking Of You'],3424,Maureen Walsh,['Maureen Walsh'],['A-Type Player'],Thinking of You (Karaoke Version) - Originally Performed By Maureen Walsh,spotify:track:078BKjvQzt6RKIAMNhxpV5,spotify:album:5ZiBJCn5vDS9ZGVvjX1isd,['spotify:artist:4iMzkXwBQHTYmyoR0teiDh'],False,0.0
7716,7716,I Adore Mi Amor,['I Adore Mi Amor'],3376,Color Me Badd,['Color Me Badd'],['Color Me Badd'],I Adore Mi Amor,spotify:track:05R2lE5g9hnaSmxIrUl3C0,spotify:album:17mrdLXkhmlY36jRm9cUbw,['spotify:artist:1QtIfAa6y7w2JhxYJhYeUG'],False,41.0
7717,7717,35 Koeien,['35 Koeien'],989,André Van Duin,['André Van Duin'],['André van Duin'],35 Koeien,spotify:track:5Mef9RIepb5Gpn3eMJK59t,spotify:album:5QDsIFFPEqWTZbTcz6MvPf,['spotify:artist:1G2QbSM5dLTtqeZHYnxXsF'],False,14.0
7718,7718,Hail Hail Rock 'n Roll,"[""Hail Hail Rock 'n Roll""]",1961,Garland Jeffreys,['Garland Jeffreys'],['Garland Jeffreys'],Hail Hail Rock N Roll,spotify:track:16t6sX4zD6NtVNAB6ZEDnI,spotify:album:1nG6lW98PBEDpk0XcWdB6Q,['spotify:artist:6BLhUZMqXO8eXjhToNRteA'],False,32.0
7719,7719,Sopa De Caracol,['Sopa De Caracol'],3425,Banda Blanca,['Banda Blanca'],['Banda Blanca'],Sopa De Caracol,spotify:track:5jBMSbo3AZzsen4gCOKxKB,spotify:album:02y6LIwA03oT4gQ9YM8wC1,['spotify:artist:1Ykx49KpY0FqIXUwyuD3TJ'],False,50.0
7720,7720,Nutbush City Limits,['Nutbush City Limits'],2420,Tina Turner,['Tina Turner'],['Ike & Tina Turner'],Nutbush City Limits,spotify:track:06yREZ9X92R2e9RJpdzZ2O,spotify:album:6FkWiSUX7YAdxOlHPrIzMj,['spotify:artist:1ZikppG9dPedbIgMfnfx8k'],False,53.0
7721,7721,Roodkapje,['Roodkapje'],3426,Pater Moeskroen,['Pater Moeskroen'],['Pater Moeskroen'],Roodkapje,spotify:track:4gPO2nAc66y47KYbiCj1DT,spotify:album:5KURMQNxRxp4sJlBnrokTw,['spotify:artist:5Wx0laye9jwDsOQDOPmnWl'],False,26.0
7722,7722,Kon Ik Maar Even Bij Je Zijn,['Kon Ik Maar Even Bij Je Zijn'],3427,Gordon,['Gordon'],['Gordon'],Kon Ik Maar Even Bij Je Zijn,spotify:track:0vWOq4z0mDYs0GSs7imUEd,spotify:album:1dxE4FTB0e9gtDEqjByt0J,['spotify:artist:2lzeV1nxm8MB7z85L53JV2'],False,38.0
7723,7723,Sexbox,['Sexbox'],2055,La Toya Jackson,['La Toya Jackson'],['La Toya Jackson'],Sexbox (Instrumental),spotify:track:1COQL2tRBHK3pJTrxZxOyN,spotify:album:2jcXZGaYGDIwiSUYQKMJRI,['spotify:artist:2CJdnZNDpgUZXPcb0job3V'],False,0.0
7724,7724,On The Outside,['On The Outside'],3428,Roch Voisine,['Roch Voisine'],['Roch Voisine'],On The Outside,spotify:track:06HFJdYN6F7G3o8FSaQ55i,spotify:album:6VCmNN4nO6kih1EIVlXfqL,['spotify:artist:77xlFule9mFzOWT9Uk80xY'],False,29.0
7725,7725,Hole Hearted,['Hole Hearted'],3350,Extreme,"['Extreme', 'E']",['Extreme'],Hole Hearted,spotify:track:6Ln1gZhJwqnQ71JxgXOmeh,spotify:album:6ooTaAyanCoC3TytYtJbi2,['spotify:artist:6w7j5wQ5AI5OQYlcM15s2L'],False,42.0
7726,7726,Night Calls,['Night Calls'],459,Joe Cocker,['Joe Cocker'],['Joe Cocker'],Night Calls,spotify:track:1pHmzDPJvQWFFePYae4RY5,spotify:album:61HuqPzUcoc940Bf7Ss0ob,['spotify:artist:3pFCERyEiP5xeN2EsPXhjI'],False,35.0
7727,7727,Nocturne,['Nocturne'],3370,T99,['T99'],[None],,,,[None],,
7728,7728,Heart Of Gold,['Heart Of Gold'],2994,Dennis Jones,['Dennis Jones'],['Dennis Jones'],Heart Of Gold,spotify:track:2RmFWdSjl4yvqbFYRkY5M4,spotify:album:770x2JLA6SIBla1q1vZD65,['spotify:artist:5R9JVPbmqPkb1VENlbdeHy'],False,2.0
7729,7729,Change,['Change'],3173,Lisa Stansfield,['Lisa Stansfield'],['Lisa Stansfield'],Change - Edit,spotify:track:1GrCYvkH2DeuXTptRKUFw6,spotify:album:7kDSpmHBCdcOQEbK45ZZPH,['spotify:artist:2jS7I1u7BpgWT9ssG62Zr1'],False,53.0
7730,7730,The Fly,['The Fly'],2260,U2,['U2'],['U2'],The Fly,spotify:track:2EtPb0zzvhRj3Mq1qicOpo,spotify:album:1U69hFsxaQxP6fquZmOmNH,['spotify:artist:51Blml2LZPmy7TTiAg47vQ'],False,46.0
7731,7731,No Son Of Mine,['No Son Of Mine'],1710,Genesis,['Genesis'],['Genesis'],No Son Of Mine - 2007 Digital Remaster,spotify:track:3btfMAhLju1mONmlDnNcIx,spotify:album:2WFkJi4USarY1qe3yjifjG,['spotify:artist:3CkvROUTQ6nRi9yQOcsB50'],False,49.0
