acousticness,danceability,duration_ms,energy,id,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0.854,0.226,199000,0.507,5lz5nAO1HA7nntRU5k0IzH,3.22e-05,0.0928,-8.835,1,0.0371,77.659,4,0.432
0.394,0.559,195000,0.31,38KTIenSEnoGNGLUrYdFLV,0.794,0.108,-13.499,1,0.0408,128.691,4,0.311
0.383,0.689,173825,0.62,4VU6RQBoryrzDh9YSFT7rz,0.0,0.123,-12.379,1,0.0418,82.063,4,0.956
0.426,0.565,156668,0.505,27K4ItIdSmWm9VKiteM5m2,0.0,0.234,-8.245,1,0.0279,106.166,3,0.675
0.632,0.559,143933,0.651,2ZIuoecgzGGVNJoeC57YVZ,0.0,0.113,-9.153,1,0.0446,124.86,4,0.725
0.644,0.472,138520,0.513,2BHfvwa7gxhN7h0rxQMubR,0.0,0.0679,-6.472,1,0.0286,127.798,4,0.405
0.497,0.577,158928,0.785,7sh5oYwMO2E4xFHAbZZUfL,0.0,0.257,-6.178,1,0.0268,99.43,4,0.96
0.639,0.31,157229,0.656,6vVpx5ax8Wow3TWB1yugA4,0.0,0.311,-8.97,1,0.0504,197.626,3,0.85
0.412,0.652,163600,0.583,2B3ArhTa6DRox1W4CJZ1dM,0.0,0.119,-7.811,1,0.038,138.134,4,0.744
0.896,0.487,190133,0.363,3wBa4fHWZMT9tLVPE7Cc1n,0.0126,0.0986,-10.183,1,0.0349,99.326,4,0.547
0.788,0.571,174960,0.169,0GJX7vXqS15TlMaNR2myR6,0.0,0.119,-13.278,1,0.0295,106.541,3,0.49
0.402,0.624,138320,0.758,6IW5U4H5EkzznI0fCWlbzR,0.00034,0.415,-7.232,0,0.0769,140.653,4,0.398
0.574,0.339,191200,0.482,3GNmeBVXMHS3pnNfRabxod,0.0,0.171,-11.92,0,0.0388,118.662,3,0.674
0.419,0.674,149880,0.702,0gDHo7nkUC3846vefhHJcE,0.0,0.249,-9.723,1,0.0354,122.096,4,0.871
0.677,0.707,126107,0.479,6xWkRiAgGkUz76go2HjcJ0,0.0,0.316,-12.065,1,0.048,90.152,4,0.739
0.563,0.59,149733,0.362,3HlxOnjQlJGo4djBCPM3UV,0.000344,0.109,-12.958,1,0.0349,113.089,4,0.427
0.718,0.768,121613,0.455,4fZnBFGXhusQwxSGRyl1GY,0.0,0.0827,-13.27,1,0.176,159.007,4,0.882
0.75,0.567,162320,0.672,6Ln9F9lZNMgV5Ht87z9Bd0,0.0837,0.367,-7.666,1,0.0336,126.509,4,0.79
0.189,0.756,122733,0.538,4VRBVIN8KRP1HhMhJPpc5s,0.00159,0.0421,-9.826,1,0.0336,112.129,4,0.973
0.129,0.329,221493,0.926,3qmCgBccHyC7e3IBvS9byq,0.852,0.745,-5.146,1,0.0629,167.435,4,0.385
0.78,0.364,170360,0.332,2U8i316GHJMluI42xqbThK,0.0,0.215,-11.507,1,0.0311,110.259,4,0.287
0.67,0.718,136067,0.593,009oOX7tpCPLzRL9AFiBS8,0.0,0.172,-9.976,1,0.0377,124.251,4,0.869
0.778,0.478,150267,0.341,7hyuFoept7slNptV126UwW,9.73e-06,0.254,-13.18,1,0.0286,105.107,4,0.62
0.146,0.546,145693,0.568,0V1hBXTdYOWv3N2FVzG3OM,0.0,0.77,-9.604,0,0.0285,112.584,4,0.488
0.188,0.381,169093,0.585,0E6LkjKMDd3oLQOsVBLO9H,0.0499,0.0739,-11.286,1,0.0394,187.442,3,0.586
0.316,0.263,179507,0.675,0ISi0rFiU16DwyRsb5NUNL,0.0,0.317,-6.208,1,0.0405,109.084,4,0.415
0.644,0.533,150507,0.579,7i4WaTC7Xp6SY49aCdcVia,0.0,0.143,-9.405,1,0.0307,147.928,3,0.782
0.74,0.39,198173,0.365,0wsmye8i8wpjajZvOktHq6,0.0,0.122,-9.385,0,0.0286,111.254,3,0.475
0.2,0.692,196680,0.63,2DdtOIqWNDcrPEDAJv0VFe,6.38e-06,0.604,-11.612,1,0.0442,128.965,4,0.932
0.822,0.361,141133,0.258,4xxYbkl51ckZoZOxHqkdyO,0.0,0.107,-12.063,0,0.0352,82.065,3,0.597
0.704,0.249,197413,0.435,5JuBL9tujDeie2we9hO5Ro,0.000962,0.433,-9.723,0,0.0336,85.503,3,0.422
0.512,0.629,172933,0.592,2Po67bkabDRE2BcquBNdu1,0.0,0.102,-7.556,1,0.0277,114.99,4,0.491
0.144,0.336,150133,0.931,1UMUuPuWJ3IeLlO18V5Dkj,0.0,0.224,-4.371,0,0.0558,90.914,4,0.465
0.571,0.346,119800,0.716,67csrS6po7IyXfwds4azjr,0.0,0.189,-10.001,1,0.0735,184.499,4,0.904
0.576,0.584,172840,0.42,1vPCbI7QPZtU6T42uaeP8w,0.0,0.323,-10.513,0,0.0332,113.365,3,0.603
0.0457,0.519,189680,0.85,2zO5cQdHLBOPlnQqWeNCFM,0.0,0.233,-6.777,1,0.0678,123.419,4,0.749
0.709,0.862,171507,0.661,21OAtH4eqrlrjF61I0MNQh,1.22e-06,0.309,-12.197,1,0.3,112.538,4,0.964
0.265,0.401,168733,0.446,6zN3LVBPT53FOZ3JsmbwEZ,0.0,0.298,-9.646,1,0.0416,103.906,4,0.425
0.821,0.329,209733,0.197,61D60xl8OUaRRmsQoexzAR,0.0,0.186,-14.771,1,0.0415,163.512,1,0.396
0.114,0.404,133200,0.903,127PMKhiL3xwzu3J2qeWn6,0.0,0.0609,-10.43,0,0.097,94.154,4,0.675
0.499,0.419,204336,0.523,3KFtTMzhe5hVTfMur4osaL,1.96e-06,0.118,-8.553,1,0.0399,176.468,3,0.165
0.376,0.623,137067,0.784,6HVqfeID7hG2vx36HFlLZC,0.0,0.0509,-10.037,1,0.0359,100.676,4,0.968
0.606,0.562,141947,0.651,68S4jRohXseJULqFrA8aTm,0.0,0.0807,-7.822,1,0.0453,158.982,4,0.922
0.33,0.622,139106,0.413,76yID3GskDyGlv2uSUjRpl,0.0,0.149,-10.508,1,0.0295,109.611,4,0.491
0.236,0.347,150627,0.638,5bC4y9Zhn6ng0MOzACCHkc,0.0,0.0894,-10.258,1,0.0409,94.506,4,0.61
0.505,0.497,163707,0.467,7G7pOhH50ZWkcl0BhmJdqw,1.12e-06,0.117,-9.012,1,0.0264,82.851,4,0.813
0.779,0.673,134187,0.753,16HrfeIFAE98VAXV4WdjPg,1.84e-06,0.113,-8.124,0,0.0524,129.932,4,0.955
