,song_id,name_song,listOfNames_song,artist_id,name_artist,listOfNames_artist
3535,2612,Lovemaker,['Lovemaker'],1241,Heart ((NLD)),['Heart ((NLD))']
3536,2614,Trico-Trico-Tra,"['Trico-Trico-Tra', 'Trico']",1242,Toni y Los Santos,['Toni y Los Santos']
1396,2626,There is A Ghost In My House,['There is A Ghost In My House'],439,R. Dean Taylor,['R. Dean Taylor']
3573,2627,The Wall Street Shuffle,['The Wall Street Shuffle'],1250,10 C.C.,['10 C.C.']
3575,2629,Beer Or Sangria,['Beer Or Sangria'],1251,Circus,['Circus']
3437,2644,Floris V,['Floris V'],1200,Marc Winter,['Marc Winter']
1246,2647,I Want Ye And I Get Ye,['I Want Ye And I Get Ye'],367,Left Side,['Left Side']
3607,2650,Man Of Action,['Man Of Action'],1256,The Les Reed Orchestra,['The Les Reed Orchestra']
3617,2657,C'est Moi,"[""C'est Moi""]",1260,C.Jerome,['C.Jerome']
3513,2660,Lady Eleanor,['Lady Eleanor'],1229,American Gypsy,['American Gypsy']
2935,2664,"Oh, Wat Een Nacht","['Oh, Wat Een Nacht']",1028,Hanny en De Rekels,['Hanny en De Rekels']
3627,2667,Friet Met Mayonaise (Gigi L'amoroso),"[""Friet Met Mayonaise (Gigi L'amoroso)"", 'Friet Met Mayonaise ', ""Gigi L'amoroso"", ""Friet Met Mayonaise Gigi L'amoroso""]",1265,Mike Vincent & DVO Electrogram,['Mike Vincent & DVO Electrogram']
1902,2671,Op De Boerderij,['Op De Boerderij'],612,Marty,['Marty']
3628,2673,Indian Uprising,['Indian Uprising'],1266,The Garnets,['The Garnets']
3635,2676,She S A Winner,['She S A Winner'],1268,Intruders,['Intruders']
3636,2681,I Can't Leave You Alone,"[""I Can't Leave You Alone""]",1269,George McGrae,['George McGrae']
3574,2689,Silly Love,['Silly Love'],1250,10 C.C.,['10 C.C.']
3644,2690,Rub-It In,"['Rub-It In', 'Rub']",1273,Jack Jersey and The Jordenaires,['Jack Jersey and The Jordenaires']
3572,2701,If You Get Hurt,['If You Get Hurt'],1249,Paul Da Vinci,['Paul Da Vinci']
2966,2703,"Sokkies Stoppen, Schoentjes Poetsen, Dasjes Goed En Kijk Goed Uit","['Sokkies Stoppen, Schoentjes Poetsen, Dasjes Goed En Kijk Goed Uit']",1039,Nico Haak en De Paniekzaaiers,['Nico Haak en De Paniekzaaiers']
3679,2719,Kaap'ren Varen,"[""Kaap'ren Varen""]",1282,Fungus,['Fungus']
1046,2725,Geef Ze 'n Kans,"[""Geef Ze 'n Kans""]",295,Thérèse Steinmetz,['Thérèse Steinmetz']
3745,2731,Kinderen Een Kwartje,['Kinderen Een Kwartje'],1287,Liesbeth List m.m.v. The Animal Crackers,['Liesbeth List m.m.v. The Animal Crackers']
3425,2742,Marietje (Want In Het Bos Daar Zijn De Jagers),"['Marietje (Want In Het Bos Daar Zijn De Jagers)', 'Marietje ', 'Want In Het Bos Daar Zijn De Jagers', 'Marietje Want In Het Bos Daar Zijn De Jagers']",1192,Hydra,['Hydra']
2356,2743,Soap,['Soap'],793,Euson,['Euson']
2781,2747,Een Lijster In De La,['Een Lijster In De La'],980,Adèle Bloemendaal,['Adèle Bloemendaal']
2360,2748,Boogie Woogie Woman,['Boogie Woogie Woman'],794,Livin' Blues,"[""Livin' Blues""]"
3759,2754,Goodbye Ann Louisa,['Goodbye Ann Louisa'],1295,Next One,"['Next One', 'Ne']"
1551,2759,Vader's Fanfare,"[""Vader's Fanfare""]",469,Johnny & Rijk,['Johnny & Rijk']
3610,2763,Morning Side Of The Mountain,['Morning Side Of The Mountain'],1258,Donny & Marie Osmond,['Donny & Marie Osmond']
1247,2769,Tessie (I Love You),"['Tessie (I Love You)', 'Tessie ', 'I Love You', 'Tessie I Love You']",367,Left Side,['Left Side']
3394,2777,Let The Bouzoukis Play,['Let The Bouzoukis Play'],1179,André Moss,['André Moss']
2274,2782,"Oh, Nous Sommes Très Amoureux","['Oh, Nous Sommes Très Amoureux']",775,Sandra & Andres,['Sandra & Andres']
3794,2788,Norma Jean Wants To Be A Movie Star,['Norma Jean Wants To Be A Movie Star'],1306,Cunningham,['Cunningham']
3795,2789,"Bla, Bla, Bla, Je T'aime....","[""Bla, Bla, Bla, Je T'aime....""]",1307,Squallor,['Squallor']
3801,2802,I'm Gonna Get Married,"[""I'm Gonna Get Married""]",1310,Sacha & Paul,['Sacha & Paul']
2850,2803,Arrivederci Goodbye,['Arrivederci Goodbye'],998,Cardinal Point,['Cardinal Point']
3802,2805,Mooie Meisjes....,['Mooie Meisjes....'],1311,Arne Jansen & Les Cigales,['Arne Jansen & Les Cigales']
3619,2808,You Talk Too Much,['You Talk Too Much'],1261,Spooky & Sue,['Spooky & Sue']
351,2813,Salvation Stomp,['Salvation Stomp'],80,Donovan,['Donovan']
3809,2814,Virginia (Touch Me Like You Do),"['Virginia (Touch Me Like You Do)', 'Virginia ', 'Touch Me Like You Do', 'Virginia Touch Me Like You Do']",1314,Bill Amesbury,['Bill Amesbury']
2967,2815,Foxie Foxtrot,['Foxie Foxtrot'],1039,Nico Haak en De Paniekzaaiers,['Nico Haak en De Paniekzaaiers']
3816,2823,Play Me Like You Play Your Guitar,['Play Me Like You Play Your Guitar'],1318,Duane Eddy and The Rebelettes,['Duane Eddy and The Rebelettes']
2190,2824,Dans Naar De Zon,['Dans Naar De Zon'],735,Ciska Peters,['Ciska Peters']
3817,2825,Ik Ben Blij Dat Ik Je Niet Vergeten Ben,['Ik Ben Blij Dat Ik Je Niet Vergeten Ben'],1319,Joost Nuissl m.m.v.: Het Dameskoor Broekhuizenvorst & De Vorster Kapel,['Joost Nuissl m.m.v.: Het Dameskoor Broekhuizenvorst & De Vorster Kapel']
3822,2828,Don't Be Cruel,"[""Don't Be Cruel""]",1321,Mike Berry,['Mike Berry']
2055,2836,Sailor Boy,['Sailor Boy'],683,Ferrari,['Ferrari']
3438,2837,De Overwegwachter,['De Overwegwachter'],1200,Marc Winter,['Marc Winter']
3832,2847,Sengidince,['Sengidince'],1328,White Butterflies,['White Butterflies']
3834,2849,Song Of Praise,['Song Of Praise'],1330,Husky,['Husky']
3846,2853,Renate,['Renate'],1334,Jerry Arendo,['Jerry Arendo']
3848,2857,Bump Me Baby,['Bump Me Baby'],1336,Dooley Silverspoon,['Dooley Silverspoon']
2581,2864,Thanks For The Memory,['Thanks For The Memory'],893,Slade,['Slade']
3850,2865,Zoek Je Zelf,['Zoek Je Zelf'],1338,Het Simplisties Verbond,['Het Simplisties Verbond']
3855,2871,Magic Mary,['Magic Mary'],1342,Holland ((1975)),['Holland ((1975))']
3295,2872,Coco (Not Coming Today),"['Coco (Not Coming Today)', 'Coco ', 'Not Coming Today', 'Coco Not Coming Today']",1141,Jackpot,['Jackpot']
3871,2885,Number One (In My Heart),"['Number One (In My Heart)', 'Number One ', 'In My Heart', 'Number One In My Heart']",1347,Carol Grimes,['Carol Grimes']
3872,2886,I'll Be Holding On,"[""I'll Be Holding On""]",1348,Al Downing,['Al Downing']
3774,2888,Disco Shirley,['Disco Shirley'],1301,Shirley & Company,['Shirley & Company']
3873,2890,Way Back In The Fifties,['Way Back In The Fifties'],1349,Carl Wayne,['Carl Wayne']
3631,2893,My Song Is Like A Lovesong,['My Song Is Like A Lovesong'],1267,Classics,['Classics']
3878,2896,Dolannes Melodie,['Dolannes Melodie'],1353,Paul De Senneville & Olivier Toussaint,['Paul De Senneville & Olivier Toussaint']
3881,2899,Nothing Else To Do,['Nothing Else To Do'],1356,Maggie MacNeal,['Maggie MacNeal']
3884,2900,Zweer Bij De Knop Van De Deur,['Zweer Bij De Knop Van De Deur'],1357,Ome Jan en De Haeghse Bluf Band,['Ome Jan en De Haeghse Bluf Band']
3893,2906,Zomertijd,['Zomertijd'],1360,Mieke en Vader Abraham,['Mieke en Vader Abraham']
3894,2908,Seventy-Five,"['Seventy-Five', 'Seventy']",1361,Limousine,['Limousine']
3901,2913,(Sending Out An) S.O.S.,"['(Sending Out An) S.O.S.', 'Sending Out An', 'Sending Out An S.O.S.']",1365,Retta Young,['Retta Young']
3903,2917,If You Think You Know How To Love Me,['If You Think You Know How To Love Me'],1367,Smokey,['Smokey']
3908,2920,Slow Down,['Slow Down'],1369,Shabby Tiger,['Shabby Tiger']
3910,2925,Somewhere Between,['Somewhere Between'],1371,Tumbleweeds,['Tumbleweeds']
3913,2926,Naar De Kermis,['Naar De Kermis'],1372,Ciska Peters & Ronnie Tober,['Ciska Peters & Ronnie Tober']
3914,2927,The Horse ((1968)) / The Horse - Tune Van De Veronica Drive-In-Show/ 21 Drive-In-Show Jingles ((1975)),"['The Horse ((1968)) ', ' The Horse - Tune Van De Veronica Drive-In-Show', ' 21 Drive-In-Show Jingles ((1975))', 'The Horse ', '(1968', 'The Horse 1968 ']",1373,Cliff Nobles & Co. / Cliff Nobles & Co/ 21 Drive-In-Show Jingles,"['Cliff Nobles & Co. ', ' Cliff Nobles & Co', ' 21 Drive-In-Show Jingles']"
3915,2928,Coconut Woman,['Coconut Woman'],1374,Sweet Okay Supersister & Los Alegres,['Sweet Okay Supersister & Los Alegres']
3916,2930,Regreza Maria,['Regreza Maria'],1375,Specials ((NLD)),['Specials ((NLD))']
2968,2935,Doedelzakke-Pakkie,"['Doedelzakke-Pakkie', 'Doedelzakke']",1039,Nico Haak en De Paniekzaaiers,['Nico Haak en De Paniekzaaiers']
3919,2937,Disco Stomp,['Disco Stomp'],1378,Bohannon,['Bohannon']
3925,2948,Take Me High,['Take Me High'],1381,Mariska Veres,['Mariska Veres']
3927,2949,Rosen Ohne Dornen (Ein Herz Spielt Niemals Falsch),"['Rosen Ohne Dornen (Ein Herz Spielt Niemals Falsch)', 'Rosen Ohne Dornen ', 'Ein Herz Spielt Niemals Falsch', 'Rosen Ohne Dornen Ein Herz Spielt Niemals Falsch']",1382,Peter Held,['Peter Held']
2056,2952,Woogie Boogie,['Woogie Boogie'],683,Ferrari,['Ferrari']
3931,2957,"Marie Luise/ Want Alleen Is Maar Alleen (Ach, Heinrich)","['Marie Luise', ' Want Alleen Is Maar Alleen (Ach, Heinrich)']",1386,Hanny & Frans en De Rekels,['Hanny & Frans en De Rekels']
3937,2967,Something,['Something'],1390,The Miracle Workers,['The Miracle Workers']
687,2975,I Believe I'm Gonna Love You,"[""I Believe I'm Gonna Love You""]",193,Frank Sinatra,['Frank Sinatra']
3943,2985,Rocco (Don't Go),"[""Rocco (Don't Go)"", 'Rocco ', ""Don't Go"", ""Rocco Don't Go""]",1394,Bonnie St. Claire & Unit Gloria featuring Peter,"['Bonnie St. Claire & Unit Gloria featuring Peter', 'Bonnie St. Claire & Unit Gloria ']"
3395,2989,My Spanish Rose,['My Spanish Rose'],1179,André Moss,['André Moss']
3951,2994,Get Sexy,['Get Sexy'],1396,Paul Kelly,['Paul Kelly']
3835,2995,Give It Up,['Give It Up'],1330,Husky,['Husky']
3969,3011,Bad Times,['Bad Times'],1403,Barry & Eileen,['Barry & Eileen']
3920,3012,Foot Stompin' Music,"[""Foot Stompin' Music""]",1378,Bohannon,['Bohannon']
3829,3013,I'm On Fire,"[""I'm On Fire""]",1325,Jim Gilstrap,['Jim Gilstrap']
3895,3017,Daddy Grandpa,['Daddy Grandpa'],1361,Limousine,['Limousine']
3974,3018,Almost Persuaded,['Almost Persuaded'],1405,Sommerset,['Sommerset']
3981,3020,Lady Bump,['Lady Bump'],1407,Penny Mc Lean,['Penny Mc Lean']
3987,3023,Sky High,['Sky High'],1409,Jigsaw ((GBR)),['Jigsaw ((GBR))']
3993,3026,When You're Gone,"[""When You're Gone""]",1411,Maggie MacNeal met dank aan Het Gewestelijk Orkest,['Maggie MacNeal met dank aan Het Gewestelijk Orkest']
3904,3030,Don't Play Your Rock 'n' Roll To Me,"[""Don't Play Your Rock 'n' Roll To Me""]",1367,Smokey,['Smokey']
4010,3036,Johanna - De Noodlottige Geschiedenis Van Een Maagd En Een Boze Schoenlapper,"['Johanna - De Noodlottige Geschiedenis Van Een Maagd En Een Boze Schoenlapper', 'Johanna ']",1413,Rijk De Gooyer,['Rijk De Gooyer']
3911,3041,It Might As Well Have Rained,['It Might As Well Have Rained'],1371,Tumbleweeds,['Tumbleweeds']
4019,3052,"Patrick, Mon Chéri","['Patrick, Mon Chéri']",1417,Kiki & Pearly,['Kiki & Pearly']
3426,3072,Als Het Gras Twee Kontjes Hoog Is,['Als Het Gras Twee Kontjes Hoog Is'],1192,Hydra,['Hydra']
3975,3073,Another Lonely Night,['Another Lonely Night'],1405,Sommerset,['Sommerset']
4054,3078,Me Soezafoon,['Me Soezafoon'],1427,Corrie Van Gorp,['Corrie Van Gorp']
3851,3080,Stoont Als Een Garnaal,['Stoont Als Een Garnaal'],1338,Het Simplisties Verbond,['Het Simplisties Verbond']
4061,3083,Het Leger Van Werkelozen,['Het Leger Van Werkelozen'],1430,Vader Abraham & Mieke & De Kermisklanten en Weesper Mannenkoor,['Vader Abraham & Mieke & De Kermisklanten en Weesper Mannenkoor']
3439,3085,Waar Blijft Die Ouderwetse Winter?,['Waar Blijft Die Ouderwetse Winter?'],1200,Marc Winter,['Marc Winter']
2969,3087,Laame Damma Doen,['Laame Damma Doen'],1039,Nico Haak en De Paniekzaaiers,['Nico Haak en De Paniekzaaiers']
4064,3090,Holiday,['Holiday'],1432,Tony Bravo,['Tony Bravo']
4065,3093,Baby Face,['Baby Face'],1433,The Wing and A Prayer Fife and Drum Corps,['The Wing and A Prayer Fife and Drum Corps']
4066,3094,Mijn Hoempapa,['Mijn Hoempapa'],1434,Ton Van Kluyve,['Ton Van Kluyve']
4068,3096,Ik Dans De Bump Met Jou,['Ik Dans De Bump Met Jou'],1436,De Bumpers ((1976)),['De Bumpers ((1976))']
4072,3103,Margarita,['Margarita'],1439,Rossa Nova,['Rossa Nova']
4073,3107,I Go To Pieces,['I Go To Pieces'],1440,"Cotton, Lloyd and Christian","['Cotton, Lloyd and Christian', 'Cotton']"
3611,3108,Deep Purple,['Deep Purple'],1258,Donny & Marie Osmond,['Donny & Marie Osmond']
4097,3123,Why Don't You Do It?,"[""Why Don't You Do It?""]",1447,Gilla,['Gilla']
4106,3126,Algebra,['Algebra'],1450,Loeki Knol,['Loeki Knol']
3621,3128,Do You Dig It,['Do You Dig It'],1261,Spooky & Sue,['Spooky & Sue']
4108,3130,Alley Oop,['Alley Oop'],1452,Groupies Delite & The Sandwich Band,['Groupies Delite & The Sandwich Band']
4109,3131,Smile Baby Smile,['Smile Baby Smile'],1453,Tony Sherman & The Sherman Brothers,['Tony Sherman & The Sherman Brothers']
2438,3137,"Baby, I'll Give You Everything","[""Baby, I'll Give You Everything""]",828,Saskia & Serge,['Saskia & Serge']
3896,3140,Don't Let Love Bring You Down,"[""Don't Let Love Bring You Down""]",1361,Limousine,['Limousine']
3370,3141,Alleen Is Maar Alleen,['Alleen Is Maar Alleen'],1170,Astrid Nijgh,['Astrid Nijgh']
3994,3150,Terug Naar De Kust,['Terug Naar De Kust'],1411,Maggie MacNeal met dank aan Het Gewestelijk Orkest,['Maggie MacNeal met dank aan Het Gewestelijk Orkest']
4125,3154,Love Machine Part 1,['Love Machine Part 1'],1460,Miracles,['Miracles']
4127,3158,Just Want To Taste Your Wine,['Just Want To Taste Your Wine'],1462,Billy Swan & The Jordanaires,['Billy Swan & The Jordanaires']
3296,3165,Sing My Love song,['Sing My Love song'],1141,Jackpot,['Jackpot']
3820,3169,Yesterday Star,['Yesterday Star'],1320,Hank The Knife and The Jets,['Hank The Knife and The Jets']
3976,3171,There Goes My Everything,['There Goes My Everything'],1405,Sommerset,['Sommerset']
4138,3177,Hoe Lang Zou 't Duren,"[""Hoe Lang Zou 't Duren""]",1471,Cees & Marjan,['Cees & Marjan']
4139,3178,Some Day My Prince Will Come,['Some Day My Prince Will Come'],1472,Patricia Paay,['Patricia Paay']
3891,3179,Save The Oceans Of The World,['Save The Oceans Of The World'],1359,Kamahl,['Kamahl']
4070,3181,Requiem,['Requiem'],1437,Slik,['Slik']
4152,3186,Pick It Up,['Pick It Up'],1476,The Knack ((NLD)),['The Knack ((NLD))']
4154,3190,Jij Bent De Mooiste,['Jij Bent De Mooiste'],1478,Dimitri Van Toren en De Damrakkertjes o.l.v. Hans De Jong,['Dimitri Van Toren en De Damrakkertjes o.l.v. Hans De Jong']
4156,3192,Voor Niets,['Voor Niets'],1480,Bob Bouber,['Bob Bouber']
1337,3195,Blueberry Hill [Maxi Single],['Blueberry Hill [Maxi Single]'],415,Fats Domino,['Fats Domino']
3836,3198,Pretty Little Linda,['Pretty Little Linda'],1330,Husky,['Husky']
4159,3199,I Never Loved A Woman The Way I Love You,['I Never Loved A Woman The Way I Love You'],1483,John Russell,['John Russell']
3912,3201,Sweet Memories,['Sweet Memories'],1371,Tumbleweeds,['Tumbleweeds']
4046,3202,You Never Walk Alone,['You Never Walk Alone'],1424,Lee Towers,['Lee Towers']
4163,3205,Reggae Like It Used To Be,['Reggae Like It Used To Be'],1486,Paul Nicholas,['Paul Nicholas']
3760,3206,Little Spanish Sailor,['Little Spanish Sailor'],1295,Next One,"['Next One', 'Ne']"
2220,3215,Dokter Bernhard,['Dokter Bernhard'],751,Bonnie St. Claire,['Bonnie St. Claire']
4171,3217,One Morning In May,['One Morning In May'],1490,Sundown,['Sundown']
4172,3218,Ay Dolores,['Ay Dolores'],1491,Rita Hovink,['Rita Hovink']
4102,3225,I Really Had A Ball Last Night - Feelin' Single-Seein' Double,"[""I Really Had A Ball Last Night - Feelin' Single-Seein' Double"", 'I Really Had A Ball Last Night ']",1448,Emmylou Harris,['Emmylou Harris']
3897,3230,Goodbye And Thank You,['Goodbye And Thank You'],1361,Limousine,['Limousine']
3474,3231,Angie My Love,['Angie My Love'],1212,Silvio,['Silvio']
3926,3234,Lovin' You,"[""Lovin' You""]",1381,Mariska Veres,['Mariska Veres']
4190,3235,"Oh, Valeria","['Oh, Valeria']",1500,Mike Vincent,['Mike Vincent']
47,3236,Fiësta Nuda,['Fiësta Nuda'],4,Imca Marina,['Imca Marina']
4197,3245,A Fifth Of Beethoven,['A Fifth Of Beethoven'],1504,Walter Murphy & The Big Apple Band,['Walter Murphy & The Big Apple Band']
2970,3252,Moe Zijn,['Moe Zijn'],1039,Nico Haak en De Paniekzaaiers,['Nico Haak en De Paniekzaaiers']
4210,3255,In Het Stamcafeetje,['In Het Stamcafeetje'],1507,Barbara Nielsen,['Barbara Nielsen']
2439,3261,Don't Tell Me Stories,"[""Don't Tell Me Stories""]",828,Saskia & Serge,['Saskia & Serge']
4216,3267,An Imoun Ploussios,['An Imoun Ploussios'],1512,Doros Georgiadis,['Doros Georgiadis']
3213,3270,Let'em In,"[""Let'em In""]",1112,Paul McCartney & Wings,['Paul McCartney & Wings']
4227,3281,You Can Count On Me (Theme From Hawaii 5-0),"['You Can Count On Me (Theme From Hawaii 5-0)', 'You Can Count On Me ', 'You Can Count On Me (Theme From Hawaii 5', 'Theme From Hawaii 5-0', 'You Can Count On Me Theme From Hawaii 5-0']",1519,"Sammy Davis, Jr.","['Sammy Davis, Jr.', 'Sammy Davis']"
4229,3285,Aunt Dinah Blows The Horn,['Aunt Dinah Blows The Horn'],1521,Scott Joplin's Treemonisha,"[""Scott Joplin's Treemonisha""]"
3344,3287,Extended Play : The Price Of Love,['Extended Play : The Price Of Love'],1161,Bryan Ferry,['Bryan Ferry']
4231,3292,Adiós Mexico,['Adiós Mexico'],1523,La Costa,['La Costa']
2518,3299,You Don't Know Me at all,"[""You Don't Know Me at all""]",860,Ringo Starr,['Ringo Starr']
4184,3300,Let's Fall In Love,"[""Let's Fall In Love""]",1496,Robin Sarstedt,['Robin Sarstedt']
3821,3302,Crazy Cat,['Crazy Cat'],1320,Hank The Knife and The Jets,['Hank The Knife and The Jets']
4140,3305,Now (Is The Moment),"['Now (Is The Moment)', 'Now ', 'Is The Moment', 'Now Is The Moment']",1472,Patricia Paay,['Patricia Paay']
4248,3310,Love Hit Me,['Love Hit Me'],1529,J. Vincent Edwards,['J. Vincent Edwards']
3601,3318,Upside Down,['Upside Down'],1255,Teach In,['Teach In']
2467,3323,Majoor Kees En De Sinterklahaas,['Majoor Kees En De Sinterklahaas'],838,Paul Van Vliet,['Paul Van Vliet']
4256,3329,Leonie,['Leonie'],1534,Arjan Brass,['Arjan Brass']
4257,3330,Bombay,['Bombay'],1535,G. Earring,['G. Earring']
2221,3344,Ik Ben Gelukkig Zonder Jou,['Ik Ben Gelukkig Zonder Jou'],751,Bonnie St. Claire,['Bonnie St. Claire']
4312,3349,Dancing Shoes,['Dancing Shoes'],1545,The Houseband,['The Houseband']
4313,3355,"January, February","['January, February']",1546,Dutch Rhythm Steel and Showband,['Dutch Rhythm Steel and Showband']
4317,3358,Zo Slank Zijn Als Je Dochter,['Zo Slank Zijn Als Je Dochter'],1548,Corry Van Gorp,['Corry Van Gorp']
4319,3360,Let's Have A Party,"[""Let's Have A Party""]",1550,The Chaplin Band,['The Chaplin Band']
80,3367,Hey Mr. Dreammaker,['Hey Mr. Dreammaker'],7,Cliff Richard,['Cliff Richard']
4337,3377,The Whistling Scout,['The Whistling Scout'],1557,Marc Winter Band,['Marc Winter Band']
4357,3389,The Big Bear Bump,['The Big Bear Bump'],1565,Ronnie and The Big Bear,['Ronnie and The Big Bear']
2869,3391,Angelino,['Angelino'],1007,Debbie,['Debbie']
4365,3397,De Mallemolen,['De Mallemolen'],1569,Heddy Lester,['Heddy Lester']
4368,3404,Dance To The Music,['Dance To The Music'],1572,Boozy,['Boozy']
4372,3407,Et Si Tu Pars,['Et Si Tu Pars'],1574,Art Sullivan & Kiki,['Art Sullivan & Kiki']
2440,3412,Honey I'm Falling In Love Again,"[""Honey I'm Falling In Love Again""]",828,Saskia & Serge,['Saskia & Serge']
4377,3416,Boogie Man,['Boogie Man'],1577,Rockaway Boulevard featuring Omar Dupree and Kathy Jackson,"['Rockaway Boulevard featuring Omar Dupree and Kathy Jackson', 'Rockaway Boulevard ']"
4098,3423,"Help, Help!","['Help, Help!']",1447,Gilla,['Gilla']
3351,3428,Good Times,['Good Times'],1162,Frank & Mirella,['Frank & Mirella']
4387,3437,Romeo,['Romeo'],1583,Mr. Big ((GBR)),['Mr. Big ((GBR))']
4388,3438,You're My World,"[""You're My World""]",1584,Guys 'n' Dolls,"[""Guys 'n' Dolls""]"
3602,3452,A Ride In The Night,['A Ride In The Night'],1255,Teach In,['Teach In']
4448,3455,Miracles,['Miracles'],1591,Anita Garbo,['Anita Garbo']
4450,3460,Nee Nou Wordt-Ie Mooi!,"['Nee Nou Wordt-Ie Mooi!', 'Nee Nou Wordt']",1593,Ome Joop m.m.v. Dik Voormekaar & Harrie Nack & Mijnheer De Groot,['Ome Joop m.m.v. Dik Voormekaar & Harrie Nack & Mijnheer De Groot']
4369,3472,Angela,['Angela'],1572,Boozy,['Boozy']
2044,3474,I Love How You Love Me,['I Love How You Love Me'],678,Dana,['Dana']
4470,3475,What Kind Of Dance Is This,['What Kind Of Dance Is This'],1599,Veronica Unlimited,['Veronica Unlimited']
4485,3478,To Know You Is To Love You,['To Know You Is To Love You'],1601,Joe Bourne,['Joe Bourne']
4496,3485,Porque Te Vas,['Porque Te Vas'],1605,Jeanette ((ESP)),['Jeanette ((ESP))']
4505,3489,Sandy,['Sandy'],1609,Dianne Marchal,['Dianne Marchal']
4389,3501,Mamacita,['Mamacita'],1584,Guys 'n' Dolls,"[""Guys 'n' Dolls""]"
4515,3508,"Song From ""Moulin Rouge""","['Song From ""Moulin Rouge""']",1616,Peters & Lee with The Harry Van Hoof Orchestra,"['Peters & Lee with The Harry Van Hoof Orchestra', 'Peters & Lee ']"
4517,3510,Big Bisou,['Big Bisou'],1618,Carlos ((FRA)),['Carlos ((FRA))']
4526,3516,"Yes, I Do Like Your Bermuda","['Yes, I Do Like Your Bermuda']",1622,Los Alegres,['Los Alegres']
4527,3517,Maggie's Ambitious Mother,"[""Maggie's Ambitious Mother""]",1623,Match,['Match']
4532,3529,I've Found Love (Now That I've Found You),"[""I've Found Love (Now That I've Found You)"", ""I've Found Love "", ""Now That I've Found You"", ""I've Found Love Now That I've Found You""]",1627,Love And Kisses,['Love And Kisses']
4534,3531,Gentlemen Callers Not Allowed,['Gentlemen Callers Not Allowed'],1629,Gilla & Bobby,['Gilla & Bobby']
4543,3536,Dear Old Dad,['Dear Old Dad'],1632,Sandy Kane,['Sandy Kane']
4544,3538,Don't Let Me Be Misunderstood + Esmeralda Suite,"[""Don't Let Me Be Misunderstood + Esmeralda Suite""]",1633,Santa Esmeralda starring Leroy Gomez,['Santa Esmeralda starring Leroy Gomez']
4545,3539,Harborlight,['Harborlight'],1634,Windjammer ((NLD)),['Windjammer ((NLD))']
4546,3541,Das Jodel-Ding (I like Gemütlichkeit),"['Das Jodel-Ding (I like Gemütlichkeit)', 'Das Jodel-Ding ', 'Das Jodel', 'I like Gemütlichkeit', 'Das Jodel-Ding I like Gemütlichkeit']",1635,Disco-Fritz & His Sauerkrauts,"['Disco-Fritz & His Sauerkrauts', 'Disco']"
4547,3542,Ted De Tapper,['Ted De Tapper'],1636,Nico Haak,['Nico Haak']
3603,3547,See The Sun,['See The Sun'],1255,Teach In,['Teach In']
4130,3548,We Love The Pirate Stations,['We Love The Pirate Stations'],1464,Trinity,['Trinity']
4044,3550,Do You Remember,['Do You Remember'],1423,Long Tall Ernie & The Shakers,['Long Tall Ernie & The Shakers']
2428,3557,Ramona Te Quiero,['Ramona Te Quiero'],823,The Walkers,['The Walkers']
4578,3565,Adé M'n Kleine Paloma,"[""Adé M'n Kleine Paloma""]",1646,Het Sneeuwbaltrio,['Het Sneeuwbaltrio']
3988,3567,If I Have To Go Away,['If I Have To Go Away'],1409,Jigsaw ((GBR)),['Jigsaw ((GBR))']
3882,3573,Fools Together,['Fools Together'],1356,Maggie MacNeal,['Maggie MacNeal']
4584,3574,Unlimited Citations - Non-Stop Beatles Disco,"['Unlimited Citations - Non-Stop Beatles Disco', 'Unlimited Citations ']",1649,Café Crème,['Café Crème']
3595,3587,Highwayman,['Highwayman'],1253,Brotherhood Of Man,['Brotherhood Of Man']
4600,3597,Sticks Man,['Sticks Man'],1657,Disco Reggae Band & Black Slate,['Disco Reggae Band & Black Slate']
4391,3603,Angel Of The Morning,['Angel Of The Morning'],1584,Guys 'n' Dolls,"[""Guys 'n' Dolls""]"
3382,3604,Home Is Where The Heart Is,['Home Is Where The Heart Is'],1175,Gladys Knight and The Pips,['Gladys Knight and The Pips']
48,3610,Vannacht,['Vannacht'],4,Imca Marina,['Imca Marina']
4486,3616,Baby You're The One,"[""Baby You're The One""]",1601,Joe Bourne,['Joe Bourne']
2209,3625,7 8th Avenue,['7 8th Avenue'],745,Earth & Fire,['Earth & Fire']
4453,3633,Ik Droom Van Een Gelukkig Kerstfeest,['Ik Droom Van Een Gelukkig Kerstfeest'],1594,De Havenzangers,['De Havenzangers']
4634,3640,La Paloma,['La Paloma'],1675,Fischer Chöre,['Fischer Chöre']
4471,3641,Right On,['Right On'],1599,Veronica Unlimited,['Veronica Unlimited']
3050,3645,Rio,['Rio'],1065,The Dizzy Man's Band,"[""The Dizzy Man's Band""]"
4637,3646,Tingelingeling,['Tingelingeling'],1678,André Van Duin presenteert: Ome Joop en Het Dik Voormekaar Koor,['André Van Duin presenteert: Ome Joop en Het Dik Voormekaar Koor']
4548,3654,Is Je Moeder Niet Thuis,['Is Je Moeder Niet Thuis'],1636,Nico Haak,['Nico Haak']
4055,3655,"Jodela Hiti, Jodela Hita","['Jodela Hiti, Jodela Hita']",1427,Corrie Van Gorp,['Corrie Van Gorp']
4648,3662,The House Of The Rising Sun,['The House Of The Rising Sun'],1683,Santa Esmeralda II,['Santa Esmeralda II']
