,source,target,1
34237,7iR5h6yGnTiswjsmj624Rq,0v4CvkMzWBQ1wZIMl2BqQW,1
34238,7iR5h6yGnTiswjsmj624Rq,5MvyMusqNikgVgkKHLc3pb,1
34242,7iR5h6yGnTiswjsmj624Rq,04MtOUkmIDC4LAxDDBjrOY,1
34245,7iR5h6yGnTiswjsmj624Rq,2lzeV1nxm8MB7z85L53JV2,1
35145,4iHNK0tOyZPYnBU7nGAgpQ,4qwGe91Bz9K2T8jXTZ815W,1
35151,4iHNK0tOyZPYnBU7nGAgpQ,6XpaIBNiVzIetEPCWDvAFP,1
35421,5V2zReaoPvB7EsZ4160uLG,5MvyMusqNikgVgkKHLc3pb,1
35426,5V2zReaoPvB7EsZ4160uLG,2lzeV1nxm8MB7z85L53JV2,1
35428,5V2zReaoPvB7EsZ4160uLG,7iR5h6yGnTiswjsmj624Rq,1
35431,5V2zReaoPvB7EsZ4160uLG,0v4CvkMzWBQ1wZIMl2BqQW,1
35434,5V2zReaoPvB7EsZ4160uLG,2QU0ew2k2IZJifa8VWevSv,1
35474,04gDigrS5kc9YWfZHwBETP,31TPClRtHm23RisEBtV3X7,1
35478,04gDigrS5kc9YWfZHwBETP,1KCSPY1glIKqW2TotWuXOR,1
36378,1ZhBDHnGPkPciEyJBzfq3p,1tF9HtIFX8fJfBo64FIJ8S,1
36379,1ZhBDHnGPkPciEyJBzfq3p,3pqfZ3xfayx6qJWcsVcXnS,1
36383,1ZhBDHnGPkPciEyJBzfq3p,2x8IIf3l8n2kJgLOxcYP29,1
36384,1ZhBDHnGPkPciEyJBzfq3p,5OWsH2lF65ygWcLYWic6rq,1
36390,1ZhBDHnGPkPciEyJBzfq3p,4mplweFSgMgpH03ruEMEMv,1
37906,43ZHCT0cAZBISjO8DG9PnE,6waa8mKu91GjzD4NlONlNJ,1
38881,1KCSPY1glIKqW2TotWuXOR,1l7ZsJRRS8wlW3WfJfPfNS,1
38885,1KCSPY1glIKqW2TotWuXOR,26dSoYclwsYLMAKD3tpOr4,1
39077,1l7ZsJRRS8wlW3WfJfPfNS,26dSoYclwsYLMAKD3tpOr4,1
39082,1l7ZsJRRS8wlW3WfJfPfNS,2DlGxzQSjYe5N6G9nkYghR,1
39089,1l7ZsJRRS8wlW3WfJfPfNS,4iHNK0tOyZPYnBU7nGAgpQ,1
39649,2eogQKWWoohI3BSnoG7E2U,3MdG05syQeRYPPcClLaUGl,1
41331,3D2GUXbtlL3r2d5HJEnsFD,0KQX2wRHV2VLjuscfJFNxB,1
41332,3D2GUXbtlL3r2d5HJEnsFD,7iR5h6yGnTiswjsmj624Rq,1
41335,3D2GUXbtlL3r2d5HJEnsFD,3FTKP1k9VbOng3m1rgnsqx,1
41340,3D2GUXbtlL3r2d5HJEnsFD,5MvyMusqNikgVgkKHLc3pb,1
41341,3D2GUXbtlL3r2d5HJEnsFD,2lzeV1nxm8MB7z85L53JV2,1
41343,3D2GUXbtlL3r2d5HJEnsFD,04MtOUkmIDC4LAxDDBjrOY,1
41345,3D2GUXbtlL3r2d5HJEnsFD,5V2zReaoPvB7EsZ4160uLG,1
41374,5a2EaR3hamoenG9rDuVn8j,4qwGe91Bz9K2T8jXTZ815W,1
41378,5a2EaR3hamoenG9rDuVn8j,7guDJrEfX3qb6FEbdPA5qi,1
42510,6XpaIBNiVzIetEPCWDvAFP,4qwGe91Bz9K2T8jXTZ815W,1
42513,6XpaIBNiVzIetEPCWDvAFP,4iHNK0tOyZPYnBU7nGAgpQ,1
42516,6XpaIBNiVzIetEPCWDvAFP,3MdG05syQeRYPPcClLaUGl,1
42517,6XpaIBNiVzIetEPCWDvAFP,3gMaNLQm7D9MornNILzdSl,1
42519,6XpaIBNiVzIetEPCWDvAFP,2eogQKWWoohI3BSnoG7E2U,1
45067,6jJ0s89eD6GaHleKKya26X,26dSoYclwsYLMAKD3tpOr4,1
45070,6jJ0s89eD6GaHleKKya26X,1l7ZsJRRS8wlW3WfJfPfNS,1
46684,7rgKxnnBAsZ7Q04d6jICu6,0d1nFNO90pwRmCeeqjOx2Q,1
46686,7rgKxnnBAsZ7Q04d6jICu6,6ltVunYjAAD70YtVO6rxvX,1
46689,7rgKxnnBAsZ7Q04d6jICu6,0KQX2wRHV2VLjuscfJFNxB,1
46690,7rgKxnnBAsZ7Q04d6jICu6,3FTKP1k9VbOng3m1rgnsqx,1
47338,2lzeV1nxm8MB7z85L53JV2,5MvyMusqNikgVgkKHLc3pb,1
47339,2lzeV1nxm8MB7z85L53JV2,5V2zReaoPvB7EsZ4160uLG,1
47343,2lzeV1nxm8MB7z85L53JV2,7iR5h6yGnTiswjsmj624Rq,1
47349,2lzeV1nxm8MB7z85L53JV2,04MtOUkmIDC4LAxDDBjrOY,1
47353,2lzeV1nxm8MB7z85L53JV2,3D2GUXbtlL3r2d5HJEnsFD,1
47910,58lV9VcRSjABbAbfWS6skp,1dfeR4HaWDbWqFHLkxsg1d,1
48683,0v4CvkMzWBQ1wZIMl2BqQW,2x8IIf3l8n2kJgLOxcYP29,1
48688,0v4CvkMzWBQ1wZIMl2BqQW,5OWsH2lF65ygWcLYWic6rq,1
48692,0v4CvkMzWBQ1wZIMl2BqQW,3pqfZ3xfayx6qJWcsVcXnS,1
48695,0v4CvkMzWBQ1wZIMl2BqQW,7iR5h6yGnTiswjsmj624Rq,1
48697,0v4CvkMzWBQ1wZIMl2BqQW,5MvyMusqNikgVgkKHLc3pb,1
48698,0v4CvkMzWBQ1wZIMl2BqQW,1tF9HtIFX8fJfBo64FIJ8S,1
48699,0v4CvkMzWBQ1wZIMl2BqQW,04MtOUkmIDC4LAxDDBjrOY,1
49505,1dfeR4HaWDbWqFHLkxsg1d,67ea9eGLXYMsO2eYQRui3w,1
49507,1dfeR4HaWDbWqFHLkxsg1d,58lV9VcRSjABbAbfWS6skp,1
49509,1dfeR4HaWDbWqFHLkxsg1d,0oSGxfWSnnOXhD2fKuz2Gy,1
49571,2y8Jo9CKhJvtfeKOsYzRdT,6waa8mKu91GjzD4NlONlNJ,1
49837,1zuJe6b1roixEKMOtyrEak,2eogQKWWoohI3BSnoG7E2U,1
49841,1zuJe6b1roixEKMOtyrEak,3MdG05syQeRYPPcClLaUGl,1
49852,1zuJe6b1roixEKMOtyrEak,3gMaNLQm7D9MornNILzdSl,1
50519,4gIdjgLlvgEOz7MexDZzpM,1iTlOqIrZy8DlvCPJY2sjS,1
50696,6tbjWDEIzxoDsBA1FuhfPW,4RVnAU35WRWra6OZ3CbbMA,1
50698,6tbjWDEIzxoDsBA1FuhfPW,2eogQKWWoohI3BSnoG7E2U,1
50700,6tbjWDEIzxoDsBA1FuhfPW,4qwGe91Bz9K2T8jXTZ815W,1
50706,6tbjWDEIzxoDsBA1FuhfPW,1zuJe6b1roixEKMOtyrEak,1
50707,6tbjWDEIzxoDsBA1FuhfPW,1l7ZsJRRS8wlW3WfJfPfNS,1
50712,6tbjWDEIzxoDsBA1FuhfPW,26dSoYclwsYLMAKD3tpOr4,1
51131,0EyzZUO2ycn0hLjKDFT7Hb,2x8IIf3l8n2kJgLOxcYP29,1
51136,0EyzZUO2ycn0hLjKDFT7Hb,5OWsH2lF65ygWcLYWic6rq,1
51139,0EyzZUO2ycn0hLjKDFT7Hb,3pqfZ3xfayx6qJWcsVcXnS,1
51140,0EyzZUO2ycn0hLjKDFT7Hb,1G2QbSM5dLTtqeZHYnxXsF,1
51143,0EyzZUO2ycn0hLjKDFT7Hb,0v4CvkMzWBQ1wZIMl2BqQW,1
51148,0EyzZUO2ycn0hLjKDFT7Hb,2QU0ew2k2IZJifa8VWevSv,1
51757,4lxfqrEsLX6N1N4OCSkILp,3gMaNLQm7D9MornNILzdSl,1
52614,1tF9HtIFX8fJfBo64FIJ8S,5OWsH2lF65ygWcLYWic6rq,1
52615,1tF9HtIFX8fJfBo64FIJ8S,4mplweFSgMgpH03ruEMEMv,1
52619,1tF9HtIFX8fJfBo64FIJ8S,2x8IIf3l8n2kJgLOxcYP29,1
52620,1tF9HtIFX8fJfBo64FIJ8S,0v4CvkMzWBQ1wZIMl2BqQW,1
52622,1tF9HtIFX8fJfBo64FIJ8S,3pqfZ3xfayx6qJWcsVcXnS,1
52624,1tF9HtIFX8fJfBo64FIJ8S,1G2QbSM5dLTtqeZHYnxXsF,1
52627,1tF9HtIFX8fJfBo64FIJ8S,1ZhBDHnGPkPciEyJBzfq3p,1
52630,1tF9HtIFX8fJfBo64FIJ8S,0EyzZUO2ycn0hLjKDFT7Hb,1
57565,19ra5tSw0tWufvUp8GotLo,1zuJe6b1roixEKMOtyrEak,1
57592,2MGJBRRGEj9m6MxJIq7fLn,4mplweFSgMgpH03ruEMEMv,1
57595,2MGJBRRGEj9m6MxJIq7fLn,1tF9HtIFX8fJfBo64FIJ8S,1
57599,2MGJBRRGEj9m6MxJIq7fLn,0uBrmlGaTI6nSg4JpVC1VR,1
57600,2MGJBRRGEj9m6MxJIq7fLn,1ZhBDHnGPkPciEyJBzfq3p,1
57604,2MGJBRRGEj9m6MxJIq7fLn,5OWsH2lF65ygWcLYWic6rq,1
57609,2MGJBRRGEj9m6MxJIq7fLn,3pqfZ3xfayx6qJWcsVcXnS,1
58696,2DlGxzQSjYe5N6G9nkYghR,26dSoYclwsYLMAKD3tpOr4,1
58706,2DlGxzQSjYe5N6G9nkYghR,4qwGe91Bz9K2T8jXTZ815W,1
58710,2DlGxzQSjYe5N6G9nkYghR,4iHNK0tOyZPYnBU7nGAgpQ,1
58712,2DlGxzQSjYe5N6G9nkYghR,6vWDO969PvNqNYHIOW5v0m,1
