artistID,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artistID
001aJOc7CSQVo3XzoLG4DK,0.0167,0.8390000000000001,380400.0,0.525,0.000368,0.253,-9.336,0.0,0.0427,114.163,4.0,0.66,001aJOc7CSQVo3XzoLG4DK
00AyPd8vwhdXkyGfY6uK20,0.73,0.608,240800.0,0.585,2.64e-06,0.0761,-6.524,1.0,0.0253,100.02600000000001,4.0,0.509,00AyPd8vwhdXkyGfY6uK20
00BQd3WIu5VBBP2y1NvIrk,0.5471785714285715,0.4763571428571428,181458.07142857142,0.45071428571428573,0.00017755928571428568,0.22899285714285714,-11.258000000000001,1.0,0.03268571428571428,121.79850000000002,3.7142857142857144,0.5566428571428571,00BQd3WIu5VBBP2y1NvIrk
00FQb4jTyendYWaN8pK0wa,0.8240000000000001,0.335,281947.0,0.266,1.49e-06,0.0856,-9.571,0.0,0.0328,122.47399999999999,4.0,0.18,00FQb4jTyendYWaN8pK0wa
00OX175uYCsHJPLZOjNJqe,0.0155,0.731,229125.0,0.648,0.312,0.142,-7.68,1.0,0.0346,122.22399999999999,4.0,0.9390000000000001,00OX175uYCsHJPLZOjNJqe
00bFgWuCaaFrjC9xylIcMf,0.017,0.764,355680.0,0.8220000000000001,0.7390000000000001,0.948,-10.844000000000001,0.0,0.0513,121.027,4.0,0.8190000000000001,00bFgWuCaaFrjC9xylIcMf
00ejjVUpGffGIuYA51u6UQ,0.6102500000000001,0.46625,203217.25,0.48475,0.0,0.23349999999999999,-11.7685,1.0,0.042675,153.70325,3.5,0.7405,00ejjVUpGffGIuYA51u6UQ
00hfOKuZEhvKKNXmVdb1We,0.193,0.42,192040.0,0.309,0.0,0.311,-7.882000000000001,1.0,0.031,118.32799999999999,4.0,0.207,00hfOKuZEhvKKNXmVdb1We
00w9sdZ78mWArooTmiSTld,0.34769999999999995,0.49233333333333335,246346.66666666666,0.6050000000000001,0.0,0.3216666666666667,-5.967666666666666,1.0,0.04066666666666666,163.66066666666666,3.3333333333333335,0.6163333333333334,00w9sdZ78mWArooTmiSTld
00z4DiFlxegdGgrvAvSNer,0.623,0.65,248947.0,0.461,0.0,0.0977,-8.355,1.0,0.0315,126.06700000000001,4.0,0.259,00z4DiFlxegdGgrvAvSNer
